iter	Passed	Remaining
0	57	57681
1	57	28940
2	58	19354
3	58	14560
4	58	11723
5	59	9804
6	59	8449
7	59	7414
8	60	6613
9	60	5973
10	60	5448
11	60	5010
12	61	4651
13	61	4333
14	61	4056
15	62	3816
16	62	3603
17	62	3415
18	62	3245
19	63	3091
20	63	2954
21	63	2828
22	63	2713
23	64	2608
24	64	2512
25	64	2424
26	64	2340
27	65	2262
28	65	2190
29	65	2123
30	65	2061
31	66	2002
32	66	1946
33	66	1894
34	66	1847
35	67	1801
36	67	1759
37	68	1722
38	68	1684
39	68	1647
40	68	1612
41	69	1581
42	69	1549
43	69	1517
44	70	1487
45	70	1459
46	70	1432
47	70	1405
48	71	1380
49	71	1357
50	71	1337
51	72	1315
52	72	1293
53	72	1273
54	72	1252
55	73	1234
56	73	1214
57	73	1196
58	73	1178
59	74	1161
60	74	1145
61	74	1128
62	74	1113
63	75	1098
64	75	1083
65	75	1069
66	75	1055
67	76	1042
68	76	1031
69	76	1020
70	77	1009
71	77	997
72	77	985
73	77	974
74	78	963
75	78	952
76	78	941
77	78	931
78	79	922
79	79	912
80	79	903
81	79	893
82	79	882
83	80	874
84	80	865
85	80	857
86	81	850
87	81	841
88	81	833
89	81	826
90	81	818
91	82	810
92	82	803
93	82	796
94	82	789
95	83	783
96	83	776
97	83	770
98	83	763
99	84	757
100	84	751
101	84	745
102	84	739
103	85	733
104	85	728
105	85	722
106	85	717
107	86	712
108	86	706
109	86	701
110	86	696
111	87	691
112	87	686
113	87	681
114	87	676
115	88	671
116	88	667
117	88	662
118	88	658
119	89	653
120	89	649
121	89	644
122	89	640
123	90	635
124	90	631
125	90	627
126	90	623
127	90	619
128	91	615
129	91	611
130	91	608
131	91	604
132	92	600
133	92	596
134	92	593
135	92	589
136	93	586
137	93	582
138	93	579
139	93	576
140	94	573
141	94	570
142	94	566
143	95	564
144	95	562
145	95	559
146	95	556
147	96	553
148	96	550
149	96	548
150	97	545
151	97	542
152	97	539
153	97	537
154	97	534
155	98	531
156	98	528
157	98	526
158	99	524
159	99	521
160	99	518
161	99	515
162	99	512
163	100	510
164	100	508
165	100	505
166	100	503
167	101	500
168	101	498
169	101	496
170	101	493
171	102	491
172	102	489
173	102	487
174	102	484
175	103	482
176	103	480
177	103	478
178	103	475
179	104	473
180	104	471
181	104	469
182	104	467
183	105	465
184	105	463
185	105	461
186	105	459
187	105	457
188	106	455
189	106	453
190	106	452
191	107	451
192	107	449
193	107	447
194	108	446
195	108	444
196	108	442
197	108	440
198	109	439
199	109	437
200	109	435
201	109	434
202	110	432
203	110	430
204	110	429
205	110	427
206	111	426
207	111	424
208	111	422
209	111	421
210	112	419
211	112	417
212	112	416
213	112	414
214	113	413
215	113	411
216	113	409
217	113	408
218	114	407
219	114	406
220	114	404
221	115	403
222	115	402
223	115	400
224	115	399
225	116	397
226	116	396
227	116	394
228	116	393
229	117	392
230	117	390
231	117	389
232	117	387
233	118	386
234	118	385
235	118	383
236	118	382
237	119	381
238	119	379
239	119	378
240	119	376
241	119	375
242	120	374
243	120	373
244	120	371
245	120	370
246	121	369
247	121	368
248	121	367
249	122	367
250	122	365
251	123	365
252	123	364
253	123	363
254	123	361
255	124	360
256	124	359
257	124	358
258	124	357
259	125	355
260	125	354
261	125	353
262	125	352
263	125	351
264	126	349
265	126	348
266	126	347
267	126	346
268	127	345
269	127	344
270	127	343
271	127	342
272	128	340
273	128	339
274	128	338
275	128	337
276	128	336
277	129	335
278	129	334
279	129	333
280	130	332
281	130	331
282	130	330
283	130	329
284	131	328
285	131	327
286	131	326
287	131	325
288	131	324
289	132	323
290	132	322
291	132	321
292	132	320
293	133	319
294	133	319
295	133	318
296	133	317
297	134	316
298	134	315
299	134	314
300	135	314
301	135	313
302	136	313
303	136	312
304	137	312
305	137	311
306	137	310
307	137	309
308	137	308
309	138	307
310	138	306
311	138	306
312	139	305
313	139	304
314	139	303
315	139	302
316	139	301
317	140	300
318	140	299
319	140	299
320	140	298
321	141	297
322	141	296
323	141	295
324	141	294
325	142	294
326	142	293
327	142	292
328	142	291
329	143	290
330	143	289
331	143	289
332	143	288
333	144	287
334	144	286
335	144	285
336	144	284
337	145	284
338	145	283
339	145	282
340	146	282
341	146	281
342	146	280
343	146	279
344	147	279
345	147	278
346	147	277
347	147	276
348	148	276
349	148	275
350	148	274
351	148	273
352	149	273
353	149	272
354	149	271
355	149	270
356	149	270
357	150	269
358	150	268
359	150	267
360	150	267
361	151	266
362	151	265
363	151	264
364	151	264
365	152	263
366	152	262
367	152	261
368	152	261
369	153	260
370	153	260
371	153	259
372	153	258
373	154	257
374	154	257
375	154	256
376	154	255
377	154	255
378	155	254
379	155	253
380	155	252
381	155	252
382	156	251
383	156	250
384	156	250
385	156	249
386	157	248
387	157	248
388	157	247
389	157	246
390	158	246
391	158	245
392	158	244
393	158	244
394	159	243
395	159	242
396	159	242
397	159	241
398	160	241
399	160	240
400	160	239
401	161	239
402	161	239
403	161	238
404	161	237
405	162	237
406	162	236
407	162	235
408	162	235
409	163	234
410	163	234
411	163	233
412	164	233
413	164	232
414	164	232
415	164	231
416	165	230
417	165	230
418	165	229
419	165	229
420	166	228
421	166	227
422	166	227
423	167	226
424	167	226
425	167	226
426	168	225
427	168	224
428	168	224
429	168	223
430	169	223
431	169	222
432	169	222
433	170	221
434	170	221
435	170	220
436	170	220
437	171	219
438	171	219
439	171	218
440	172	218
441	172	217
442	172	217
443	172	216
444	173	215
445	173	215
446	173	214
447	173	214
448	174	213
449	174	213
450	174	212
451	175	212
452	175	211
453	175	211
454	175	210
455	176	210
456	176	209
457	176	209
458	177	208
459	177	208
460	177	207
461	178	207
462	178	206
463	178	206
464	178	205
465	179	205
466	179	204
467	179	204
468	180	203
469	180	203
470	180	202
471	180	202
472	181	201
473	181	201
474	181	200
475	182	200
476	182	199
477	182	199
478	182	198
479	183	198
480	183	198
481	183	197
482	184	197
483	184	196
484	184	196
485	184	195
486	185	195
487	185	194
488	185	194
489	185	193
490	186	193
491	186	192
492	186	192
493	187	191
494	187	191
495	187	190
496	187	190
497	188	189
498	188	189
499	188	188
500	188	188
501	189	187
502	189	187
503	189	186
504	190	186
505	190	185
506	190	185
507	191	185
508	191	184
509	191	184
510	192	183
511	192	183
512	192	182
513	193	182
514	193	182
515	193	181
516	193	181
517	194	180
518	194	180
519	194	179
520	195	179
521	195	178
522	195	178
523	195	177
524	196	177
525	196	176
526	196	176
527	196	175
528	197	175
529	197	175
530	197	174
531	197	174
532	198	173
533	198	173
534	198	172
535	198	172
536	199	171
537	199	171
538	199	170
539	199	170
540	200	169
541	200	169
542	200	168
543	201	168
544	201	168
545	201	167
546	202	167
547	202	166
548	202	166
549	202	165
550	203	165
551	203	165
552	203	164
553	204	164
554	204	163
555	204	163
556	204	162
557	205	162
558	205	162
559	205	161
560	206	161
561	206	160
562	206	160
563	206	159
564	207	159
565	207	159
566	207	158
567	208	158
568	208	157
569	208	157
570	209	157
571	209	156
572	209	156
573	210	155
574	210	155
575	210	155
576	210	154
577	211	154
578	211	153
579	211	153
580	211	152
581	212	152
582	212	152
583	212	151
584	213	151
585	213	150
586	213	150
587	213	149
588	214	149
589	214	149
590	214	148
591	215	148
592	215	147
593	215	147
594	216	147
595	216	146
596	216	146
597	216	145
598	217	145
599	217	145
600	217	144
601	218	144
602	218	143
603	218	143
604	219	143
605	219	142
606	219	142
607	220	141
608	220	141
609	220	141
610	220	140
611	221	140
612	221	139
613	221	139
614	221	138
615	222	138
616	222	138
617	223	137
618	223	137
619	223	137
620	224	136
621	224	136
622	224	136
623	225	135
624	225	135
625	225	134
626	225	134
627	226	133
628	226	133
629	226	133
630	226	132
631	227	132
632	227	131
633	227	131
634	227	131
635	228	130
636	228	130
637	228	129
638	229	129
639	229	128
640	229	128
641	229	128
642	230	127
643	230	127
644	230	126
645	230	126
646	231	126
647	231	125
648	231	125
649	231	124
650	232	124
651	232	124
652	232	123
653	233	123
654	233	122
655	233	122
656	233	122
657	234	121
658	234	121
659	234	120
660	235	120
661	235	120
662	235	119
663	235	119
664	236	119
665	236	118
666	236	118
667	237	117
668	237	117
669	237	117
670	237	116
671	238	116
672	238	115
673	238	115
674	239	115
675	239	114
676	239	114
677	239	113
678	240	113
679	240	113
680	240	112
681	241	112
682	241	112
683	241	111
684	242	111
685	242	110
686	242	110
687	243	110
688	243	109
689	243	109
690	243	109
691	244	108
692	244	108
693	244	107
694	244	107
695	245	107
696	245	106
697	245	106
698	246	105
699	246	105
700	246	105
701	246	104
702	247	104
703	247	103
704	247	103
705	247	103
706	248	102
707	248	102
708	248	102
709	248	101
710	249	101
711	250	101
712	250	100
713	250	100
714	251	100
715	251	99
716	251	99
717	251	98
718	252	98
719	252	98
720	252	97
721	252	97
722	253	97
723	253	96
724	253	96
725	254	95
726	254	95
727	254	95
728	254	94
729	255	94
730	255	94
731	255	93
732	256	93
733	256	92
734	256	92
735	256	92
736	257	91
737	257	91
738	257	91
739	258	90
740	258	90
741	258	89
742	258	89
743	259	89
744	259	88
745	259	88
746	260	88
747	260	87
748	260	87
749	260	86
750	261	86
751	261	86
752	261	85
753	261	85
754	262	85
755	262	84
756	263	84
757	263	84
758	264	83
759	264	83
760	264	83
761	264	82
762	265	82
763	265	81
764	265	81
765	265	81
766	266	80
767	266	80
768	266	80
769	266	79
770	267	79
771	267	78
772	267	78
773	267	78
774	268	77
775	268	77
776	268	77
777	269	76
778	269	76
779	269	76
780	269	75
781	270	75
782	270	74
783	270	74
784	271	74
785	271	73
786	271	73
787	271	73
788	272	72
789	272	72
790	272	72
791	272	71
792	273	71
793	273	70
794	273	70
795	273	70
796	274	69
797	274	69
798	274	69
799	275	68
800	275	68
801	275	68
802	275	67
803	276	67
804	276	66
805	276	66
806	276	66
807	277	65
808	277	65
809	277	65
810	277	64
811	278	64
812	278	64
813	278	63
814	278	63
815	279	62
816	279	62
817	279	62
818	280	61
819	280	61
820	280	61
821	280	60
822	281	60
823	281	60
824	281	59
825	282	59
826	282	59
827	282	58
828	282	58
829	283	57
830	283	57
831	283	57
832	283	56
833	284	56
834	284	56
835	284	55
836	285	55
837	285	55
838	285	54
839	286	54
840	286	54
841	286	53
842	286	53
843	287	53
844	287	52
845	287	52
846	288	52
847	288	51
848	288	51
849	289	51
850	289	50
851	289	50
852	290	49
853	290	49
854	290	49
855	290	48
856	291	48
857	291	48
858	291	47
859	291	47
860	292	47
861	292	46
862	292	46
863	293	46
864	293	45
865	293	45
866	293	45
867	294	44
868	294	44
869	294	44
870	295	43
871	295	43
872	295	42
873	295	42
874	296	42
875	296	41
876	296	41
877	297	41
878	297	40
879	297	40
880	297	40
881	298	39
882	298	39
883	298	39
884	299	38
885	299	38
886	299	38
887	300	37
888	300	37
889	300	37
890	301	36
891	301	36
892	301	36
893	302	35
894	302	35
895	302	35
896	302	34
897	303	34
898	303	34
899	303	33
900	303	33
901	304	33
902	304	32
903	304	32
904	304	32
905	305	31
906	305	31
907	305	30
908	306	30
909	306	30
910	306	29
911	306	29
912	307	29
913	307	28
914	307	28
915	308	28
916	308	27
917	308	27
918	308	27
919	309	26
920	309	26
921	309	26
922	309	25
923	310	25
924	310	25
925	310	24
926	311	24
927	311	24
928	311	23
929	311	23
930	312	23
931	312	22
932	312	22
933	313	22
934	313	21
935	313	21
936	313	21
937	314	20
938	314	20
939	314	20
940	314	19
941	315	19
942	315	19
943	315	18
944	316	18
945	316	18
946	316	17
947	317	17
948	317	17
949	317	16
950	317	16
951	318	16
952	318	15
953	318	15
954	319	15
955	319	14
956	319	14
957	319	14
958	320	13
959	320	13
960	320	13
961	321	12
962	321	12
963	321	12
964	321	11
965	322	11
966	322	11
967	322	10
968	322	10
969	323	9
970	323	9
971	323	9
972	323	8
973	324	8
974	324	8
975	324	7
976	324	7
977	325	7
978	325	6
979	325	6
980	326	6
981	326	5
982	326	5
983	327	5
984	327	4
985	327	4
986	328	4
987	328	3
988	328	3
989	328	3
990	329	2
991	329	2
992	329	2
993	330	1
994	330	1
995	330	1
996	331	0
997	331	0
998	331	0
999	331	0
